corp,lemma,n_sense,collapse,worst_pair,delta,sep,works
semcor,action,3,0.19962115585803986,0.3049791753292084,-0.0168438850705668,0.8003788441419601,False
semcor,activity,2,0.10276519507169724,0.10276519507169724,-0.013937264696227,0.8972348049283028,False
semcor,area,2,0.5657147169113159,0.5657147169113159,-0.1431402070816818,0.4342852830886841,False
semcor,art,2,0.5752381086349487,0.5752381086349487,-0.0165011572280005,0.42476189136505127,False
semcor,back,3,0.22233295440673828,0.3205588161945343,-0.0313966203808225,0.7776670455932617,False
semcor,board,8,0.28929486870765686,0.6736936569213867,-0.2439941107100369,0.7107051312923431,False
semcor,body,4,0.2414657324552536,0.3670955002307892,0.2695540735636381,0.7585342675447464,True
semcor,book,4,0.564774215221405,0.7981789112091064,0.0381312836836612,0.43522578477859497,False
semcor,case,7,0.24425359070301056,0.7856736183166504,-0.038748737553811294,0.7557464092969894,False
semcor,cell,4,0.2258741855621338,0.44244587421417236,0.5061135890174925,0.7741258144378662,True
semcor,center,5,0.1701025664806366,0.5108952522277832,0.1184609914787354,0.8298974335193634,True
semcor,corner,3,0.1553972363471985,0.24420902132987976,-0.046117526142347404,0.8446027636528015,False
semcor,country,3,0.40749502182006836,0.5185168981552124,-0.0320155134416751,0.5925049781799316,False
semcor,course,3,0.11602875590324402,0.2210748791694641,0.5766311408392725,0.883971244096756,True
semcor,door,3,0.789295494556427,0.8875725865364075,-0.0152097939977591,0.210704505443573,False
semcor,earth,3,0.5766677856445312,0.5919240713119507,-0.1270773762237593,0.42333221435546875,False
semcor,element,3,0.38383913040161133,0.4780539274215698,0.0738858956859169,0.6161608695983887,False
semcor,face,3,0.20587463676929474,0.21786564588546753,0.0318733728364124,0.7941253632307053,False
semcor,field,5,0.4375857412815094,0.6485845446586609,-0.029229746333358498,0.5624142587184906,False
semcor,figure,2,0.654677152633667,0.654677152633667,-0.023367608351008803,0.345322847366333,False
semcor,film,5,0.3563186526298523,0.6324297189712524,0.00476702391499,0.6436813473701477,False
semcor,floor,4,0.44459962844848633,0.7649580240249634,0.2891844048508994,0.5554003715515137,True
semcor,foot,2,0.12582360208034515,0.12582360208034515,-0.032030613129979,0.8741763979196548,False
semcor,form,2,0.2539985775947571,0.2539985775947571,-0.0365775980530826,0.7460014224052429,False
semcor,game,3,0.21886175870895386,0.353092223405838,0.029008491562158,0.7811382412910461,False
semcor,ground,5,0.4398763179779053,0.8403025269508362,0.3001693215939329,0.5601236820220947,True
semcor,head,9,0.19313792884349823,0.503667414188385,0.31690582759572616,0.8068620711565018,True
semcor,heart,2,0.0950583815574646,0.0950583815574646,-0.0280059046934573,0.9049416184425354,False
semcor,home,3,0.16714198887348175,0.22893771529197693,-0.0054402851481886,0.8328580111265182,False
semcor,image,2,0.2872231602668762,0.2872231602668762,-0.0127029934094741,0.7127768397331238,False
semcor,land,5,0.32359832525253296,0.8403025269508362,-0.0159107471348105,0.676401674747467,False
semcor,level,3,0.36901572346687317,0.6233122944831848,0.20872635426795458,0.6309842765331268,True
semcor,light,4,0.4110008180141449,0.5927392840385437,0.011787152060656302,0.5889991819858551,False
semcor,line,11,0.23133867979049683,0.6002975702285767,-0.0377060417698791,0.7686613202095032,False
semcor,man,4,0.29233404994010925,0.45572665333747864,0.10822640002626391,0.7076659500598907,True
semcor,material,3,0.54823237657547,0.572193443775177,-0.0764455614096103,0.45176762342453003,False
semcor,matter,2,0.15631704032421112,0.15631704032421112,0.005948017300411999,0.8436829596757889,False
semcor,means,2,0.06825681030750275,0.06825681030750275,0.013172733993126,0.9317431896924973,False
semcor,mouth,2,0.1443185806274414,0.1443185806274414,0.0423405817418228,0.8556814193725586,False
semcor,officer,3,0.6637971997261047,0.9005841016769409,0.20942730880597868,0.33620280027389526,True
semcor,paper,4,0.5973219871520996,0.8543627262115479,0.12190348021357028,0.4026780128479004,True
semcor,part,4,0.5290010571479797,0.6506538391113281,0.027737361656134198,0.47099894285202026,False
semcor,picture,4,0.43632736802101135,0.6567531824111938,0.06784751789136599,0.5636726319789886,False
semcor,place,4,0.2899729311466217,0.5851587057113647,0.0164215796272118,0.7100270688533783,False
semcor,plant,2,0.289095401763916,0.289095401763916,0.5964489948237542,0.710904598236084,True
semcor,point,4,0.2616884708404541,0.3699667155742645,-0.030607021742332298,0.7383115291595459,False
semcor,position,4,0.21607886254787445,0.3790237009525299,-0.0270205530148035,0.7839211374521255,False
semcor,product,2,0.5030655860900879,0.5030655860900879,-0.021031611886329498,0.4969344139099121,False
semcor,property,2,0.32102835178375244,0.32102835178375244,-0.0022939052375862,0.6789716482162476,False
semcor,range,2,0.15401853621006012,0.15401853621006012,-0.0365351760618259,0.8459814637899399,False
semcor,section,2,0.4661892056465149,0.4661892056465149,0.16453660413288249,0.5338107943534851,True
semcor,side,4,0.33169639110565186,0.49556249380111694,0.039125123517805505,0.6683036088943481,False
semcor,situation,2,0.22558718919754028,0.22558718919754028,0.0288382609597202,0.7744128108024597,False
semcor,space,2,0.4419642388820648,0.4419642388820648,0.0548117773155187,0.5580357611179352,False
semcor,stage,2,0.1319543719291687,0.1319543719291687,-0.026352030430888,0.8680456280708313,False
semcor,state,2,0.31619566679000854,0.31619566679000854,0.0072735267892331,0.6838043332099915,False
semcor,study,2,0.19398468732833862,0.19398468732833862,-0.0703145356667265,0.8060153126716614,False
semcor,surface,3,0.41717541217803955,0.5246622562408447,-0.013117047864630499,0.5828245878219604,False
semcor,system,2,0.17556190490722656,0.17556190490722656,-0.0309845643361236,0.8244380950927734,False
semcor,table,4,0.3589792549610138,0.8342167139053345,-0.0346362009593214,0.6410207450389862,False
semcor,thing,2,0.1141320988535881,0.1141320988535881,-0.0088934878766967,0.8858679011464119,False
semcor,water,2,0.5181028842926025,0.5181028842926025,0.094659391608068,0.48189711570739746,False
semcor,work,2,0.5594440698623657,0.5594440698623657,-0.0167509600673118,0.4405559301376343,False
semcor,yard,5,0.4477790296077728,0.6973276138305664,-0.1020392433491812,0.5522209703922272,False
dwug_en,ball,5,0.46841996908187866,0.8087479472160339,-0.2267861886246977,0.5315800309181213,False
dwug_en,bar,5,0.27013081312179565,0.7582790851593018,0.15171144621230132,0.7298691868782043,True
dwug_en,bit,2,0.331118106842041,0.331118106842041,0.21835981306720337,0.668881893157959,True
dwug_en,edge,3,0.3023398816585541,0.3722396194934845,-0.0710831149171229,0.6976601183414459,False
dwug_en,face,3,0.20587463676929474,0.21786564588546753,0.09344121291941898,0.7941253632307053,False
dwug_en,grain,4,0.5568366050720215,0.8895155787467957,-0.03047144327438199,0.4431633949279785,False
dwug_en,head,9,0.19313792884349823,0.503667414188385,0.5090620058447961,0.8068620711565018,True
dwug_en,land,5,0.32359832525253296,0.8403025269508362,-0.0600121661687435,0.676401674747467,False
dwug_en,part,4,0.5290010571479797,0.6506538391113281,0.07340243766660311,0.47099894285202026,False
dwug_en,plane,3,0.39694634079933167,0.6689165830612183,0.4994941027752774,0.6030536592006683,True
dwug_en,rag,2,0.18731041252613068,0.18731041252613068,-0.025692527991239097,0.8126895874738693,False
dwug_en,twist,2,0.036693692207336426,0.036693692207336426,-0.0179023472645584,0.9633063077926636,False
semeval2013,control,2,0.22214025259017944,0.22214025259017944,0.1793102420953607,0.7778597474098206,True
semeval2013,image,2,0.2872231602668762,0.2872231602668762,0.0018551943066182006,0.7127768397331238,False
semeval2013,paper,4,0.5973219871520996,0.8543627262115479,0.5252646418493799,0.4026780128479004,True
semeval2013,part,4,0.5290010571479797,0.6506538391113281,0.2906768737489568,0.47099894285202026,True
semeval2013,state,2,0.31619566679000854,0.31619566679000854,-0.011447500525606398,0.6838043332099915,False
semeval2013,window,2,0.34914398193359375,0.34914398193359375,0.0,0.6508560180664062,False
semeval2010,body,4,0.2414657324552536,0.3670955002307892,-0.0987591613836852,0.7585342675447464,False
semeval2010,cell,4,0.2258741855621338,0.44244587421417236,0.5006973189082394,0.7741258144378662,True
semeval2010,chip,3,0.2464788407087326,0.3102269470691681,-0.0852558803245794,0.7535211592912674,False
semeval2010,community,2,0.3799605369567871,0.3799605369567871,0.08815274132050109,0.6200394630432129,False
semeval2010,field,5,0.4375857412815094,0.6485845446586609,0.004726311818295102,0.5624142587184906,False
semeval2010,foundation,2,0.08428554981946945,0.08428554981946945,-0.0015350262282281,0.9157144501805305,False
semeval2010,gap,2,0.370810329914093,0.370810329914093,0.0102205947449266,0.629189670085907,False
semeval2010,gas,2,0.22017045319080353,0.22017045319080353,-0.0506970813091466,0.7798295468091965,False
semeval2010,house,3,0.5043389201164246,0.6897514462471008,-0.2459695538526022,0.49566107988357544,False
semeval2010,market,2,0.8781408071517944,0.8781408071517944,-0.0010705384544939,0.12185919284820557,False
semeval2010,movement,2,0.1316620409488678,0.1316620409488678,-0.0553451739706178,0.8683379590511322,False
semeval2010,officer,3,0.6637971997261047,0.9005841016769409,0.236621783451131,0.33620280027389526,True
semeval2010,park,2,0.30350759625434875,0.30350759625434875,-0.0300487794007461,0.6964924037456512,False
semeval2010,television,3,0.8107757568359375,0.8353919982910156,-0.0028399916348755,0.1892242431640625,False
